donor_id	group	dataset	tissue	M1	M2	M3	M4	ssc_tier1
pt03012	SSc	gse195452	skin_gur	0.1967	0.0287	-0.4124	-0.3336	0.0728
pt03013	SSc	gse195452	skin_gur	0.2466	0.0197	-0.3731	-0.3748	0.0539
pt03014	SSc	gse195452	skin_gur	0.3447	-0.0335	-0.369	-0.2835	0.0103
pt03015	SSc	gse195452	skin_gur	0.403	0.0321	-0.4491	-0.331	-0.0092
pt03016	SSc	gse195452	skin_gur	0.7731	-0.1468	-0.414	-0.4645	-0.0738
pt03017	SSc	gse195452	skin_gur	0.2868	-0.0039	-0.3978	-0.2153	0.0198
pt03018	SSc	gse195452	skin_gur	0.3531	-0.076	-0.4767	-0.2236	0.0358
pt03019	SSc	gse195452	skin_gur	0.2964	-0.019	-0.3584	-0.2475	0.0159
pt03020	SSc	gse195452	skin_gur	0.3131	0.0111	-0.3845	-0.2282	0.0011
pt03021	SSc	gse195452	skin_gur	0.3303	0.0801	-0.2562	-0.187	-0.0792
pt03022	SSc	gse195452	skin_gur	0.252	0.0482	-0.2872	-0.2247	-0.012
pt03023	SSc	gse195452	skin_gur	0.3871	0.0196	-0.3838	-0.2428	-0.0351
pt03024	SSc	gse195452	skin_gur	0.187	0.1188	-0.3623	-0.2879	0.015
pt03025	SSc	gse195452	skin_gur	0.3042	0.0807	-0.4215	-0.2738	-0.0046
pt03026	SSc	gse195452	skin_gur	0.4656	-0.0376	-0.4091	-0.3455	-0.0197
pt03027	SSc	gse195452	skin_gur	0.5102	0.0474	-0.5317	-0.3073	-0.0409
pt03028	SSc	gse195452	skin_gur	0.2767	0.0711	-0.2736	-0.2485	-0.0368
pt03029	SSc	gse195452	skin_gur	0.326	-0.0244	-0.4528	-0.2316	0.0264
pt03030	SSc	gse195452	skin_gur	0.3009	0.0505	-0.3656	-0.3058	-0.0027
pt03031	SSc	gse195452	skin_gur	0.2794	-0.052	-0.4082	-0.2883	0.0524
pt03032	SSc	gse195452	skin_gur	0.4444	-0.0042	-0.3643	-0.2504	-0.0584
pt03033	SSc	gse195452	skin_gur	0.4533	0.042	-0.2518	-0.2449	-0.1032
pt03034	SSc	gse195452	skin_gur	0.2931	0.1302	-0.1726	-0.3706	-0.07
pt03035	SSc	gse195452	skin_gur	0.2414	0.0144	-0.3903	-0.2801	0.042
